Question,Class,Image
Question_077,Cocconeis,Cocconeis_pediculus_18_roi_1
Question_078,Fragilariopsis,Fragilaria_arcus_11_roi_2
Question_079,Achnanthes,Achnanthes_subhudsonis_64_roi_3
Question_080,Cocconeis,Cocconeis_pediculus_15_roi_1
Question_081,Navicula,Navicula_tripunctata_69_roi_1
Question_082,Nitzschia,Nitzschia_inconspicua_3_roi_1
Question_083,Achnanthes,Achnanthes_subhudsonis_35_roi_5
Question_084,Nitzschia,Nitzschia_capitellata_50_roi_1
Question_085,Nitzschia,Nitzschia_inconspicua_24_roi_6
Question_086,Nitzschia,Nitzschia_inconspicua_24_roi_5
Question_087,Navicula,Navicula_cryptotenella_31_roi_4
Question_088,Fragilariopsis,Fragilaria_perminuta_96_roi_1
Question_089,Navicula,Navicula_tripunctata_28_roi_1
Question_090,Cocconeis,Cocconeis_placentula_var_euglypta_54_roi_1
Question_091,Cocconeis,Cocconeis_lineata_62_roi_1
Question_092,Navicula,Navicula_capitatoradiata_32_roi_1
Question_093,Thalassiosira,Thalassiosira_pseudonana_26_roi_3
Question_094,Nitzschia,Nitzschia_dissipata_var_dissipata_32_roi_1
Question_095,Cocconeis,Cocconeis_placentula_var_euglypta_64_roi_1
Question_096,Navicula,Navicula_tripunctata_3_roi_1
Question_097,Nitzschia,Nitzschia_soratensis_20_roi_2
Question_098,Nitzschia,Nitzschia_soratensis_11_roi_1
Question_099,Navicula,Navicula_cryptotenelloides_49_roi_1
Question_100,Navicula,Navicula_capitatoradiata_26_roi_1
